,Longitude,Latitude,LGA,RadiusInKM,AccidentCount,RoadName,RoadType,PostcodeNo
1241,146.01446,-36.56244,BENALLA,1.23,5,Hume,Freeway,3672
1242,143.42354,-37.37993,PYRENEES,1.16,3,Beaufort-lexton,Road,3373
1243,142.16777,-38.383379999999995,MOYNE,0.0,1,Princes,Highway,3284
1244,145.70424,-37.19495,MURRINDINDI,2.36,15,Nihil,Street,3714
1245,143.97234,-37.507329999999996,MOORABOOL,0.47,2,Ballarat-daylesford,Road,3352
1246,145.99738,-36.96483,MANSFIELD,0.0,1,Midland link,Highway,3723
1247,145.75279,-38.177459999999996,BAW BAW,0.6,2,Coster,Road,3818
1248,142.30363,-36.78901,HORSHAM,0.09,2,Western,Highway,3401
1249,144.36748,-37.892759999999996,GEELONG,0.94,6,Bacchus marsh-geelong,Road,3340
1250,145.634,-37.5779,MURRINDINDI,1.94,11,Maroondah,Highway,3778
1251,143.96913999999998,-37.63767,MOORABOOL,0.8,6,Yendon no 2,Road,3352
1252,145.22286,-36.38713,SHEPPARTON,0.0,1,Tatura-undera,Road,3616
1253,142.85626000000002,-37.0122,NORTHERN GRAMPIANS,0.96,4,Vineyard,Road,3384
1254,141.33334,-36.55894,WEST WIMMERA,0.0,1,Plains,Track,3419
1255,143.61105,-37.61518,PYRENEES,0.27,3,Smythesdale-snake valley,Road,3351
1256,144.79766,-37.03622,MITCHELL,0.01,2,Northern,Highway,3522
1257,142.80626999999998,-37.10857,NORTHERN GRAMPIANS,0.62,5,Western,Highway,3374
1258,141.44159,-38.22535,GLENELG,3.74,9,Portland-nelson,Road,3305
1259,146.10746,-36.969809999999995,MANSFIELD,0.69,4,Mansfield-whitfield,Road,3722
1260,146.13338000000002,-37.85321,BAW BAW,0.76,3,Mt baw baw tourist,Road,3833
1261,143.87198,-38.59597,COLAC OTWAY,0.0,1,Wye,Road,3234
1262,144.65305,-36.615759999999995,CAMPASPE,0.0,1,Northern,Highway,3558
1263,146.56795,-36.1924,INDIGO,0.0,1,Old cemetery,Road,3683
1264,145.53139,-35.84937,MOIRA,0.0,1,Green,Lane,3641
1265,146.72442,-36.37528,INDIGO,1.1,4,Stanley,Road,3747
1266,144.57824,-37.21286,MACEDON RANGES,0.0,1,Baynton,Road,3444
1267,143.32908,-37.68573,PYRENEES,1.29,3,Glenelg,Highway,3361
1268,146.67136000000002,-38.58406,WELLINGTON,0.0,1,South gippsland,Highway,3971
1269,144.22836999999998,-35.84583,GANNAWARRA,1.05,3,Cohuna-leitchville,Road,3568
1270,143.11700000000002,-37.33899,ARARAT,1.58,5,Western,Highway,3375
1271,143.74793,-36.018879999999996,LODDON,0.0,1,Boort-kerang,Road,3537
1272,148.05381,-37.67977,EAST GIPPSLAND,0.51,2,Bruthen-buchan,Road,3887
1273,142.03804,-36.26944,HINDMARSH,0.0,1,Dimboola-rainbow,Road,3414
1274,146.86761,-36.65092,ALPINE,0.7,4,Great alpine,Road,3739
1275,144.8524,-37.10549,MITCHELL,1.41,5,Northern,Highway,3521
1276,147.83131,-37.442,EAST GIPPSLAND,0.0,1,Great alpine,Road,3895
1277,145.86938,-37.33892,MURRINDINDI,0.0,1,Royston,Road,3712
1278,147.09335,-36.5847,ALPINE,0.0,1,Bay creek,Lane,3691
1279,141.38083999999998,-36.98383,WEST WIMMERA,0.0,1,Charam-wombelano,Road,3318
1280,145.17948,-37.15744,MITCHELL,2.48,12,West falls,Road,3659
1281,147.07171,-36.86053,ALPINE,0.18,4,Great alpine,Road,3741
1282,144.15417,-35.83209,GANNAWARRA,0.0,1,Cohuna-mcmillans,Road,3568
1283,142.31101999999998,-34.35561,MILDURA,0.0,1,Johns,Way,3496
1284,144.18909,-37.364340000000006,HEPBURN,1.48,6,Daylesford-trentham,Road,3461
1285,146.67021,-37.9114,WELLINGTON,0.0,1,Boundary,Track,3858
1286,144.24029,-37.21006,HEPBURN,0.0,1,Vaughan springs,Road,3461
1287,141.73801,-38.135040000000004,GLENELG,0.36,2,Woolsthorpe-heywood,Road,3304
1288,142.61775,-38.053340000000006,MOYNE,0.02,2,Hexham-ballangeich,Road,3273
1289,141.28772,-37.0408,WEST WIMMERA,0.6,2,Charles,Street,3318
1290,146.10442,-37.45697,MURRINDINDI,0.95,3,Big river,Road,3713
1291,143.28245,-37.190329999999996,PYRENEES,0.59,2,Pyrenees,Highway,3469
1292,143.31825,-38.6316,COLAC OTWAY,0.0,1,Lavers hill-cobden,Road,3239
1293,146.67873,-37.85348,WELLINGTON,0.14,2,Forest edge,Track,3858
1294,143.42225,-38.74244,COLAC OTWAY,0.0,1,Great ocean,Road,3238
1295,142.97551,-38.54162,CORANGAMITE,0.0,1,Camerons hill,Road,3268
1296,144.56291000000002,-36.56668,BENDIGO,1.12,3,Midland,Highway,3559
1297,143.70264,-36.649029999999996,LODDON,0.61,2,Inglewood-rheola,Road,3517
1298,144.35866000000001,-35.95601,CAMPASPE,0.0,1,Murray valley,Highway,3566
1299,142.08001000000002,-34.30857,MILDURA,0.0,1,Benetook,Avenue,3501
1300,144.03146,-37.51077,MOORABOOL,0.0,1,Mollongghip,Road,3352
1301,146.10805,-38.355740000000004,SOUTH GIPPSLAND,0.0,1,Grand ridge,Road,3871
1302,146.64749,-37.95661,WELLINGTON,0.0,1,Stoney no1,Track,3858
1303,146.63709,-37.83954,WELLINGTON,0.0,1,Black range link no1,Track,3858
1304,143.51359,-35.73304,GANNAWARRA,0.0,1,Quambatook-swan hill,Road,3540
1305,145.45306000000002,-36.06295,MOIRA,1.03,5,Numurkah,Road,3636
1306,146.31896,-38.02118,BAW BAW,0.49,2,Seninis,Track,3825
1307,145.86604,-37.88881,BAW BAW,0.68,3,Goodwood mill,Track,3833
1308,144.25361999999998,-36.98623,MOUNT ALEXANDER,0.29,2,Calder,Freeway,3453
1309,143.41466,-35.38726,SWAN HILL,0.0,1,Sea lake-swan hill,Road,3585
1310,142.59079,-36.45547,YARRIAMBIACK,0.0,1,Market,Street,3392
1311,147.6144,-37.93046,EAST GIPPSLAND,0.67,2,Romawi,Road,3875
1312,146.54951,-38.07778,LATROBE,0.2,2,Eaglehawk,Road,3854
1313,147.16186000000002,-36.3763,INDIGO,0.0,1,Eskdale spur,Road,3695
1314,143.57121,-38.014559999999996,CORANGAMITE,0.65,3,Hamilton,Highway,3323
1315,142.79765,-37.889959999999995,MOYNE,0.0,1,Mortlake-ararat,Road,3272
1316,143.94646,-37.20344,HEPBURN,0.69,3,Creswick-newstead,Road,3364
1317,142.15033,-37.3502,SOUTHERN GRAMPIANS,0.0,1,Henty,Highway,3314
1318,144.02782,-38.48192,SURF COAST,1.76,11,Great ocean,Road,3231
1319,141.25035,-37.918079999999996,GLENELG,0.0,1,Princes,Highway,3304
1320,144.16608,-37.15018,MOUNT ALEXANDER,0.3,3,Templeton,Street,3451
1321,146.02052,-38.38754,SOUTH GIPPSLAND,0.33,2,Yarragon-leongatha,Road,3953
1322,145.45883,-38.425940000000004,BASS COAST,2.09,6,Corinella,Road,3984
1323,147.38387,-37.08912,EAST GIPPSLAND,0.0,1,Great alpine,Road,3898
1324,143.5746,-38.7029,COLAC OTWAY,0.0,1,Binns,Road,3237
1325,145.22286,-36.37236,SHEPPARTON,0.84,4,Tatura-undera,Road,3616
1326,147.00975,-36.449490000000004,ALPINE,1.87,6,Kiewa valley,Highway,3691
1327,142.06929,-37.78358,SOUTHERN GRAMPIANS,0.0,1,Pierrepoint,Road,3300
1328,145.22277,-36.313629999999996,SHEPPARTON,0.07,3,Lancaster-mooroopna,Road,3629
1329,145.52303999999998,-36.26242,SHEPPARTON,0.0,1,Jubilee,Road,3634
1330,145.95096,-36.06997,MOIRA,0.0,1,Beatties,Road,3730
1331,141.73002,-37.97397,GLENELG,0.81,3,Henty,Highway,3303
1332,144.66405,-36.35212,CAMPASPE,0.0,1,Diggora,Road,3561
1333,147.59256000000002,-37.72295,EAST GIPPSLAND,0.0,1,Bullumwaal,Road,3875
1334,142.44637,-38.22932,MOYNE,0.3,2,Warrnambool-caramut,Road,3281
1335,144.69971,-36.79023,BENDIGO,0.0,1,Northern,Highway,3551
1336,144.98121,-36.27449,CAMPASPE,0.0,1,Curr,Road,3621
1337,144.35005,-38.0074,GEELONG,0.68,2,Bacchus marsh,Road,3212
1338,141.31223,-37.02069,WEST WIMMERA,0.24,3,Wimmera,Highway,3318
1339,146.96633,-36.5543,ALPINE,0.56,7,Happy valley,Road,3737
1340,146.66683999999998,-38.5549,WELLINGTON,1.51,6,Tarra valley,Road,3971
1341,141.4196,-36.948,WEST WIMMERA,0.0,1,Wimmera,Highway,3318
1342,145.63298999999998,-38.34312,SOUTH GIPPSLAND,0.0,1,South gippsland,Highway,3945
1343,143.18358,-37.18928,ARARAT,0.67,3,Pyrenees,Highway,3377
1344,145.97476,-36.91458,MANSFIELD,0.0,1,Harpers,Road,3723
1345,141.12421,-38.06428,GLENELG,0.6,2,Portland-nelson,Road,3292
1346,142.63138999999998,-36.80894,NORTHERN GRAMPIANS,0.0,1,Stawell-warracknabeal,Road,3385
1347,146.59187,-36.53829,WANGARATTA,1.29,4,Snow,Road,3735
1348,142.04465,-36.65716,HORSHAM,0.0,1,Polkemmet,Road,3401
1349,145.69823,-36.652590000000004,STRATHBOGIE,3.89,9,Hume,Freeway,3669
1350,145.24103,-36.48421,SHEPPARTON,0.0,1,Dhurringile,Road,3616
1351,146.48467,-37.87336,BAW BAW,0.0,1,Deep creek no2,Track,3825
1352,144.67166,-38.170429999999996,GEELONG,0.11,2,Old st leonards,Road,3223
1353,147.7227,-37.235929999999996,EAST GIPPSLAND,0.0,1,Obriens,Road,3896
1354,142.57218999999998,-36.949870000000004,NORTHERN GRAMPIANS,1.17,3,Western,Highway,3385
1355,147.95416,-36.15845,TOWONG,0.64,3,Murray valley,Highway,3707
1356,146.2949,-38.13811,LATROBE,1.01,5,Purvis,Road,3825
1357,144.28381000000002,-37.4262,HEPBURN,0.79,3,Blackwood,Road,3458
1358,147.05623,-36.1075,TOWONG,1.65,5,Lake,Road,3691
1359,145.26838,-36.06971,MOIRA,0.0,1,Baxters,Drive,3637
1360,142.34158,-37.62256,SOUTHERN GRAMPIANS,0.7,3,Grampians,Road,3294
1361,144.38033000000001,-36.52115,BENDIGO,0.41,2,Bendigo-tennyson,Road,3570
1362,145.25166000000002,-37.1792,MURRINDINDI,1.05,6,King parrot creek,Road,3660
1363,146.37091,-38.00152,BAW BAW,1.91,5,Moe-rawson,Road,3825
1364,142.38326,-35.0656,MILDURA,0.18,2,Mallee,Highway,3490
1365,143.07993000000002,-38.39606,CORANGAMITE,1.06,5,Cobden-port campbell,Road,3266
